timestamp,open,high,low,close,volume
2024-01-02T10:30,150.0,150.8738,149.8963,150.7695,141092
2024-01-02T11:30,150.7695,153.2856,150.593,153.1063,113177
2024-01-02T12:30,153.1063,156.1637,152.5188,155.5667,106710
2024-01-02T13:30,155.5667,156.799,155.2063,156.4365,106810
2024-01-02T14:30,156.4365,158.3394,154.94,156.839,77965
2024-01-02T15:30,156.839,157.6333,155.1931,155.983,194711
2024-01-02T16:00,155.983,157.0845,153.5046,154.5963,259658
2024-01-03T10:30,154.5963,154.6485,154.2187,154.2708,84040
2024-01-03T11:30,154.2708,154.3563,153.3711,153.4562,89994
2024-01-03T12:30,153.4562,154.5196,152.9954,154.057,111560
2024-01-03T13:30,154.057,155.4837,151.7373,153.1557,119595
2024-01-03T14:30,153.1557,153.7856,150.9437,151.5671,88436
2024-01-03T15:30,151.5671,153.3952,150.082,151.9067,129141
2024-01-03T16:00,151.9067,152.791,151.3459,152.2289,187879
2024-01-04T10:30,152.2289,152.4581,151.8468,152.0758,82918
2024-01-04T11:30,152.0758,152.426,150.6599,151.0077,156299
2024-01-04T12:30,151.0077,152.8861,149.6765,151.5502,130127
2024-01-04T13:30,151.5502,152.0631,150.4793,150.9903,139827
2024-01-04T14:30,150.9903,153.2885,150.2873,152.578,97289
2024-01-04T15:30,152.578,152.8307,151.8778,152.1297,229715
2024-01-04T16:00,152.1297,152.271,151.2847,151.4252,136506
2024-01-05T10:30,151.4252,152.0404,149.0392,149.6471,168435
2024-01-05T11:30,149.6471,150.398,148.8114,149.5618,131354
2024-01-05T12:30,149.5618,149.8321,148.3538,148.6224,176267
2024-01-05T13:30,148.6224,149.7851,147.429,148.5914,62337
2024-01-05T14:30,148.5914,149.9054,148.5267,149.8402,111356
2024-01-05T15:30,149.8402,151.4909,148.3511,150.0003,170381
2024-01-05T16:00,150.0003,151.672,148.8918,150.5595,158125
2024-01-08T10:30,150.5595,150.9372,148.9948,149.3695,150858
2024-01-08T11:30,149.3695,150.2809,148.9739,149.8839,136429
2024-01-08T12:30,149.8839,150.7787,149.1579,150.0519,100683
2024-01-08T13:30,150.0519,150.3461,149.2902,149.5835,83230
2024-01-08T14:30,149.5835,150.2455,149.3883,150.0496,120153
2024-01-08T15:30,150.0496,151.1115,148.6609,149.7205,162032
2024-01-08T16:00,149.7205,150.3211,148.632,149.2306,172886
2024-01-09T10:30,149.2306,151.2706,147.8233,149.8573,125353
2024-01-09T11:30,149.8573,150.3222,149.8015,150.2663,74276
2024-01-09T12:30,150.2663,150.3116,150.2038,150.249,222138
2024-01-09T13:30,150.249,150.4755,149.7566,149.9828,118963
2024-01-09T14:30,149.9828,150.8398,147.4152,148.2624,144817
2024-01-09T15:30,148.2624,150.1418,147.5882,149.4622,255610
2024-01-09T16:00,149.4622,149.9008,146.9712,147.4037,311242
2024-01-10T10:30,147.4037,147.8211,145.5594,145.9728,123027
2024-01-10T11:30,145.9728,147.1045,144.1352,145.2614,122074
2024-01-10T12:30,145.2614,145.6054,143.4077,143.7481,95357
2024-01-10T13:30,143.7481,146.5872,143.1851,146.0153,110716
2024-01-10T14:30,146.0153,148.1362,145.1167,147.2301,127021
2024-01-10T15:30,147.2301,150.3887,146.0468,149.1896,188503
2024-01-10T16:00,149.1896,150.1851,148.6064,149.6003,132121
2024-01-11T10:30,149.6003,149.9907,147.2747,147.66,129248
2024-01-11T11:30,147.66,148.309,147.4042,148.0526,101239
2024-01-11T12:30,148.0526,148.6366,147.8356,148.4191,100374
2024-01-11T13:30,148.4191,151.5952,148.0674,151.2369,89091
2024-01-11T14:30,151.2369,152.998,150.4999,152.256,146095
2024-01-11T15:30,152.256,154.6855,151.6312,154.0534,229018
2024-01-11T16:00,154.0534,155.3497,153.4202,154.7138,289210
2024-01-12T10:30,154.7138,155.2969,153.776,154.3578,96073
2024-01-12T11:30,154.3578,154.4173,153.0676,153.1266,130683
2024-01-12T12:30,153.1266,154.2091,152.4933,153.5739,120390
2024-01-12T13:30,153.5739,156.052,153.3707,155.8458,236875
2024-01-12T14:30,155.8458,157.5197,155.1779,156.8475,91814
2024-01-12T15:30,156.8475,157.8058,156.6722,157.6297,215176
2024-01-12T16:00,157.6297,158.4589,157.5723,158.4012,145657
2024-01-16T10:30,158.4012,158.7548,155.6948,156.0431,148649
2024-01-16T11:30,156.0431,157.3752,155.0712,156.401,125309
2024-01-16T12:30,156.401,157.7223,155.7098,157.0284,124701
2024-01-16T13:30,157.0284,158.0414,156.131,157.1434,131228
2024-01-16T14:30,157.1434,158.9067,156.2924,158.0508,156169
2024-01-16T15:30,158.0508,158.7919,155.1806,155.9117,204734
2024-01-16T16:00,155.9117,157.142,155.5102,156.7383,471604
2024-01-17T10:30,156.7383,158.5545,155.8484,157.6593,152321
2024-01-17T11:30,157.6593,158.9637,157.4108,158.7135,145072
2024-01-17T12:30,158.7135,158.9014,157.3287,157.5152,106287
2024-01-17T13:30,157.5152,159.4926,155.6923,157.6679,75239
2024-01-17T14:30,157.6679,160.0578,156.3965,158.7775,106645
2024-01-17T15:30,158.7775,160.5916,158.7264,160.54,137485
2024-01-17T16:00,160.54,161.0855,158.8779,159.4197,149959
2024-01-18T10:30,159.4197,159.8255,159.3833,159.7891,101961
2024-01-18T11:30,159.7891,163.7939,159.2826,163.2763,72327
2024-01-18T12:30,163.2763,164.147,162.7361,163.6056,148502
2024-01-18T13:30,163.6056,163.6995,162.2453,162.3385,136147
2024-01-18T14:30,162.3385,164.7575,161.3642,163.7746,110373
2024-01-18T15:30,163.7746,164.3096,162.4905,163.023,279868
2024-01-18T16:00,163.023,164.7412,161.9953,163.7091,226426
2024-01-19T10:30,163.7091,168.1089,162.864,167.2455,82076
2024-01-19T11:30,167.2455,168.3049,165.4081,166.4626,100541
